Age	Gender	Ethnic Group Description	Subject Catalog Nbr	Instruction Mode Group	Session	Official Grade	
20	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
20	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
20	Male	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	A	
44	Male	Black/African American	ACG2021	3	8	C	
21	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
22	Female	Asian	ACG2021	1	8	A	
23	Male	Hispanic/Latino	ACG2021	1	8	B	
22	Female	White	ACG2021	2	8	B	
21	Male	White	ACG2021	1	8	A	
21	Female	Asian	ACG2021	1	8	B	
20	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Female	Hispanic/Latino	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Unknown	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Female	Asian	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	B	
23	Female	Hispanic/Latino	ACG2021	1	8	W	
22	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Unknown		ACG2021	2	8	A	
20	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	WF	
22	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Unknown	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	B	
20	Female	White	ACG2021	1	8	A	
21	Male	Asian	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Male	Asian	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	A	
20	Male	White	ACG2021	1	8	A	
23	Male	Asian	ACG2021	1	8	A	
20	Male	Black/African American	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
20	Male	Asian	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Female	Black/African American	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	Hispanic/Latino	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
20	Unknown	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	C	
20	Female	Multi-Ethnic	ACG2021	3	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Unknown	Not Specified	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	W	
21	Male	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
21	Unknown	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Male	Black/African American	ACG2021	1	8	A	
21	Female	Black/African American	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Unknown	White	ACG2021	1	8	W	
23	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	B	
21	Male	White	ACG2021	1	8	A	
20	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	B	
20	Unknown	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Male	Hispanic/Latino	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Male	Black/African American	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	C	
25	Male	White	ACG2021	1	8	W	
22	Female	White	ACG2021	1	8	A	
21	Male	Asian	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Male	Not Specified	ACG2021	1	8	A	
20	Unknown	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	2	8	A	
21	Female	White	ACG2021	1	8	B	
22	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Male	Asian	ACG2021	1	8	A	
48	Male	White	ACG2021	1	8	W	
20	Female	White	ACG2021	1	8	A	
20	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Unknown	White	ACG2021	2	8	A	
21	Female	White	ACG2021	1	8	A	
21	Unknown	White	ACG2021	1	8	B	
45	Female	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	B	
22	Unknown	Asian	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	B	
21	Female	Asian	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
22	Female	Black/African American	ACG2021	2	8	W	
21	Unknown	White	ACG2021	1	8	A	
21	Male	White	ACG2021	2	8	A	
21	Male	White	ACG2021	2	8	A	
21	Unknown		ACG2021	1	8	A	
21	Unknown	White	ACG2021	1	8	A	
22	Male	Asian	ACG2021	1	8	A	
20	Male	White	ACG2021	3	8	A	
37	Male	Black/African American	ACG2021	1	8	WF	
29	Male	White	ACG2021	1	8	B	
31	Female	White	ACG2021	1	8	B	
30	Male	White	ACG2021	1	8	A	
28	Male	White	ACG2021	1	8	C	
26	Female	Hispanic/Latino	ACG2021	1	8	A	
29	Male	Hispanic/Latino	ACG2021	1	8	B	
27	Male	White	ACG2021	3	8	B	
27	Male	Asian	ACG2021	3	8	F	
28	Female	White	ACG2021	1	8	C	
28	Female	White	ACG2021	1	8	B	
29	Male	White	ACG2021	3	8	F	
28	Male	Asian	ACG2021	1	8	D	
26	Unknown	White	ACG2021	1	8	D	
26	Female	White	ACG2021	1	8	B	
27	Unknown	White	ACG2021	2	8	B	
26	Male	White	ACG2021	1	8	C	
27	Female	Hispanic/Latino	ACG2021	1	8	B	
26	Male	White	ACG2021	3	8	W	
40	Female	White	ACG2021	3	8	A	
24	Female	White	ACG2021	2	8	B	
28	Male	Asian	ACG2021	2	8	A	
48	Female	Hispanic/Latino	ACG2021	1	8	C	
27	Female	White	ACG2021	2	8	F	
35	Female	White	ACG2021	1	8	B	
26	Female	White	ACG2021	1	8	A	
54	Female	White	ACG2021	1	8	A	
27	Male	Asian	ACG2021	1	8	D	
25	Female	White	ACG2021	1	8	W	
24	Female	White	ACG2021	3	8	B	
37	Female	Hispanic/Latino	ACG2021	1	8	B	
37	Female	White	ACG2021	1	8	W	
22	Female	White	ACG2021	1	8	A	
24	Unknown	Black/African American	ACG2021	3	8	B	
24	Female	Black/African American	ACG2021	1	8	B	
26	Male	White	ACG2021	3	8	C	
24	Male	White	ACG2021	1	8	A	
31	Female	White	ACG2021	1	8	C	
29	Female	White	ACG2021	1	8	B	
26	Male	White	ACG2021	2	8	C	
54	Unknown	White	ACG2021	1	8	W	
21	Male	White	ACG2021	2	8	A	
28	Male	White	ACG2021	2	8	W	
51	Male	White	ACG2021	1	8	A	
26	Male	White	ACG2021	1	8	B	
28	Female	White	ACG2021	1	8	A	
28	Female	White	ACG2021	2	8	A	
26	Female	White	ACG2021	1	8	W	
27	Male	Hispanic/Latino	ACG2021	3	8	A	
25	Female	White	ACG2021	1	8	W	
26	Female	White	ACG2021	1	8	F	
42	Female	White	ACG2021	1	8	B	
25	Female	White	ACG2021	1	8	B	
26	Male	White	ACG2021	1	8	A	
26	Male	Hispanic/Latino	ACG2021	1	8	B	
19	Male	White	ACG2021	1	8	B	
26	Female	White	ACG2021	1	8	A	
27	Female	White	ACG2021	1	8	B	
27	Female	White	ACG2021	3	8	F	
23	Male	White	ACG2021	3	8	C	
26	Male	Hispanic/Latino	ACG2021	1	8	A	
56	Female	Black/African American	ACG2021	1	8	C	
34	Male	White	ACG2021	1	8	B	
60	Female	White	ACG2021	3	8	A	
54	Female	Black/African American	ACG2021	1	8	D	
59	Female	White	ACG2021	1	8	A	
61	Female	White	ACG2021	1	8	C	
64	Female	White	ACG2021	1	8	B	
56	Female	White	ACG2021	3	8	A	
60	Female	Black/African American	ACG2021	1	8	C	
55	Female	White	ACG2021	1	8	A	
58	Male	White	ACG2021	1	8	W	
50	Female	White	ACG2021	1	8	A	
53	Female	White	ACG2021	1	8	WF	
53	Female	Black/African American	ACG2021	3	8	A	
52	Male	White	ACG2021	3	8	A	
55	Male	White	ACG2021	1	8	A	
52	Male	White	ACG2021	1	8	A	
51	Female	Black/African American	ACG2021	1	8	W	
60	Female	White	ACG2021	1	8	A	
49	Female	White	ACG2021	2	8	A	
49	Male	White	ACG2021	1	8	B	
47	Female	White	ACG2021	1	8	B	
48	Male	White	ACG2021	1	8	C	
52	Female	White	ACG2021	2	8	C	
50	Female	White	ACG2021	2	8	A	
46	Male	White	ACG2021	1	8	A	
47	Female	Black/African American	ACG2021	2	8	B	
47	Female	White	ACG2021	1	8	A	
47	Female	White	ACG2021	3	8	A	
45	Female	White	ACG2021	3	8	W	
55	Female	White	ACG2021	1	8	C	
46	Female	White	ACG2021	1	8	W	
52	Male	White	ACG2021	1	8	A	
47	Female	Hispanic/Latino	ACG2021	1	8	B	
46	Male	White	ACG2021	2	8	W	
50	Male	White	ACG2021	1	8	B	
47	Male	White	ACG2021	1	8	A	
44	Female	White	ACG2021	1	8	A	
54	Female	White	ACG2021	3	8	A	
54	Female	Hispanic/Latino	ACG2021	1	8	W	
46	Female	Black/African American	ACG2021	3	8	B	
49	Female	White	ACG2021	3	8	A	
44	Male	White	ACG2021	1	8	B	
44	Female	Black/African American	ACG2021	1	8	A	
43	Female	White	ACG2021	1	8	WF	
44	Male	White	ACG2021	3	8	A	
45	Male	Hispanic/Latino	ACG2021	3	8	C	
44	Female	Black/African American	ACG2021	1	8	F	
49	Male	Hispanic/Latino	ACG2021	1	8	B	
47	Male	White	ACG2021	1	8	A	
46	Female	White	ACG2021	1	8	F	
48	Male	White	ACG2021	3	8	A	
47	Female	White	ACG2021	1	8	A	
50	Female	Black/African American	ACG2021	1	8	B	
41	Female	White	ACG2021	1	8	WF	
44	Female	Hispanic/Latino	ACG2021	3	8	D	
61	Male	White	ACG2021	1	8	A	
53	Female	White	ACG2021	1	8	A	
41	Female	White	ACG2021	1	8	A	
42	Male	Not Specified	ACG2021	1	8	B	
63	Male	White	ACG2021	2	8	A	
48	Female	White	ACG2021	2	8	WF	
40	Female	White	ACG2021	2	8	A	
43	Female	White	ACG2021	1	8	A	
44	Male	White	ACG2021	1	8	A	
43	Female	White	ACG2021	1	8	F	
39	Male	White	ACG2021	1	8	C	
40	Female	White	ACG2021	1	8	A	
41	Female	White	ACG2021	1	8	D	
41	Female	White	ACG2021	1	8	D	
58	Female	White	ACG2021	1	8	A	
42	Male	White	ACG2021	1	8	F	
45	Female	White	ACG2021	3	8	B	
51	Male	Black/African American	ACG2021	1	8	C	
41	Female	White	ACG2021	1	8	A	
48	Male	White	ACG2021	3	8	A	
38	Female	Hispanic/Latino	ACG2021	1	8	A	
40	Male	White	ACG2021	1	8	B	
45	Male	White	ACG2021	3	8	A	
47	Male	White	ACG2021	1	8	A	
61	Female	White	ACG2021	3	8	W	
61	Female	White	ACG2021	2	8	A	
40	Male	White	ACG2021	1	8	B	
37	Male	White	ACG2021	1	8	A	
41	Female	White	ACG2021	1	8	WF	
41	Male	White	ACG2021	1	8	F	
41	Male	White	ACG2021	2	8	C	
40	Female	White	ACG2021	1	8	C	
39	Female	Black/African American	ACG2021	2	8	F	
39	Female	Black/African American	ACG2021	2	8	B	
47	Female	Black/African American	ACG2021	3	8	F	
43	Male	Black/African American	ACG2021	2	8	B	
40	Female	White	ACG2021	1	8	A	
48	Female	White	ACG2021	3	8	C	
47	Male	Black/African American	ACG2021	2	8	C	
40	Female	White	ACG2021	1	8	F	
40	Female	White	ACG2021	1	8	C	
47	Female	White	ACG2021	3	8	C	
38	Male	White	ACG2021	1	8	A	
39	Female	Not Specified	ACG2021	1	8	B	
57	Female	White	ACG2021	2	8	A	
45	Male	White	ACG2021	3	8	C	
35	Male	White	ACG2021	1	8	WF	
36	Male	White	ACG2021	1	8	C	
37	Female	Hispanic/Latino	ACG2021	1	8	B	
35	Female	Black/African American	ACG2021	1	8	D	
38	Female	White	ACG2021	1	8	B	
51	Female	Hispanic/Latino	ACG2021	1	8	A	
36	Male	White	ACG2021	1	8	B	
39	Male	Hispanic/Latino	ACG2021	1	8	A	
33	Male	White	ACG2021	1	8	A	
48	Female	White	ACG2021	1	8	A	
40	Female	Black/African American	ACG2021	3	8	B	
34	Female	White	ACG2021	1	8	B	
42	Female	White	ACG2021	3	8	C	
57	Female	White	ACG2021	3	8	A	
36	Male	White	ACG2021	1	8	A	
33	Male	White	ACG2021	1	8	A	
46	Male	White	ACG2021	1	8	B	
37	Female	Black/African American	ACG2021	3	8	B	
33	Female	White	ACG2021	1	8	A	
32	Female	White	ACG2021	1	8	A	
32	Female	White	ACG2021	1	8	B	
33	Female	White	ACG2021	1	8	B	
31	Female	Black/African American	ACG2021	1	8	C	
33	Female	White	ACG2021	1	8	C	
33	Female	White	ACG2021	1	8	B	
36	Male	Black/African American	ACG2021	1	8	F	
30	Female	White	ACG2021	2	8	B	
32	Male	White	ACG2021	3	8	W	
29	Female	White	ACG2021	1	8	A	
29	Female	Hispanic/Latino	ACG2021	3	8	C	
32	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	C	
50	Male	Black/African American	ACG2021	1	8	B	
41	Female	White	ACG2021	2	8	C	
32	Male	White	ACG2021	1	8	F	
65	Male	White	ACG2021	1	8	W	
32	Male	White	ACG2021	2	8	F	
45	Female	White	ACG2021	1	8	D	
30	Female	White	ACG2021	3	8	A	
28	Female	White	ACG2021	1	8	B	
46	Male	Asian	ACG2021	1	8	A	
52	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
19	Male	White	ACG2021	2	8	A	
20	Female	Not Specified	ACG2021	1	8	A	
39	Female	White	ACG2021	1	8	A	
35	Female	White	ACG2021	1	8	A	
42	Female	White	ACG2021	1	8	A	
31	Female	Hispanic/Latino	ACG2021	1	8	A	
32	Male	White	ACG2021	3	8	A	
42	Male	Black/African American	ACG2021	1	8	B	
23	Female	Multi-Ethnic	ACG2021	1	8	A	
30	Female	Asian	ACG2021	1	8	B	
37	Female	Hispanic/Latino	ACG2021	2	8	A	
36	Female	White	ACG2021	1	8	A	
30	Male	White	ACG2021	2	8	C	
31	Unknown	Hispanic/Latino	ACG2021	1	8	D	
29	Female	White	ACG2021	2	8	A	
29	Male	Hispanic/Latino	ACG2021	1	8	C	
45	Male	White	ACG2021	2	8	C	
39	Female	Asian	ACG2021	1	8	C	
32	Female	Hispanic/Latino	ACG2021	1	8	A	
32	Male	White	ACG2021	1	8	D	
39	Female	White	ACG2021	3	8	A	
32	Unknown	White	ACG2021	1	8	D	
32	Male	Not Specified	ACG2021	2	8	A	
32	Male	White	ACG2021	2	8	B	
40	Female	White	ACG2021	1	8	D	
33	Male	White	ACG2021	1	8	A	
38	Male	Black/African American	ACG2021	3	8	C	
30	Male	Hispanic/Latino	ACG2021	3	8	W	
29	Female	White	ACG2021	3	8	A	
31	Female	White	ACG2021	1	8	A	
29	Male	White	ACG2021	1	8	C	
33	Male	White	ACG2021	3	8	B	
42	Female	White	ACG2021	1	8	B	
46	Female	White	ACG2021	1	8	A	
28	Unknown	Black/African American	ACG2021	3	8	B	
41	Male	White	ACG2021	1	8	A	
28	Male	White	ACG2021	2	8	W	
31	Male	White	ACG2021	1	8	B	
30	Female	White	ACG2021	1	8	F	
33	Male	White	ACG2021	3	8	B	
28	Male	White	ACG2021	1	8	B	
29	Female	White	ACG2021	1	8	A	
30	Female	White	ACG2021	1	8	C	
49	Female	Asian	ACG2021	1	8	B	
36	Male	White	ACG2021	1	8	W	
46	Female	White	ACG2021	1	8	A	
32	Male	White	ACG2021	1	8	A	
29	Male	White	ACG2021	1	8	C	
31	Female	Black/African American	ACG2021	3	8	C	
30	Female	Asian	ACG2021	2	8	B	
20	Female	White	ACG2021	2	8	D	
38	Male	White	ACG2021	1	8	A	
42	Female	White	ACG2021	3	8	A	
41	Female	Hispanic/Latino	ACG2021	1	8	F	
35	Female	Hispanic/Latino	ACG2021	2	8	WF	
36	Female	White	ACG2021	1	8	W	
36	Female	White	ACG2021	1	8	B	
37	Male	White	ACG2021	1	8	WF	
36	Female	White	ACG2021	3	8	B	
33	Female	White	ACG2021	1	8	A	
36	Male	White	ACG2021	1	8	A	
33	Female	White	ACG2021	1	8	A	
33	Female	Black/African American	ACG2021	1	8	WF	
35	Female	Black/African American	ACG2021	2	8	D	
32	Female	White	ACG2021	1	8	B	
59	Female	White	ACG2021	1	8	A	
35	Female	Black/African American	ACG2021	1	8	B	
32	Male	White	ACG2021	1	8	W	
48	Female	White	ACG2021	2	8	A	
36	Female	White	ACG2021	1	8	A	
38	Male	White	ACG2021	2	8	A	
43	Female	White	ACG2021	1	8	W	
34	Female	White	ACG2021	1	8	A	
41	Female	White	ACG2021	1	8	W	
41	Female	White	ACG2021	1	8	B	
32	Female	Hispanic/Latino	ACG2021	3	8	C	
33	Female	White	ACG2021	1	8	B	
43	Female	Hispanic/Latino	ACG2021	2	8	W	
31	Female	Hispanic/Latino	ACG2021	2	8	A	
56	Female	Hispanic/Latino	ACG2021	2	8	B	
25	Female	Hispanic/Latino	ACG2021	2	8	A	
23	Male	Multi-Ethnic	ACG2021	1	8	B	
24	Male	White	ACG2021	2	8	B	
25	Male	White	ACG2021	1	8	W	
26	Male	White	ACG2021	1	8	F	
36	Female	Black/African American	ACG2021	1	8	F	
24	Female	Hispanic/Latino	ACG2021	2	8	W	
26	Male	White	ACG2021	1	8	WF	
35	Female	White	ACG2021	1	8	B	
26	Female	White	ACG2021	2	8	F	
24	Female	White	ACG2021	2	8	B	
33	Male	White	ACG2021	1	8	B	
35	Female	White	ACG2021	1	8	B	
46	Male	White	ACG2021	3	8	B	
30	Male	Hispanic/Latino	ACG2021	2	8	A	
33	Female	White	ACG2021	1	8	B	
30	Male	White	ACG2021	1	8	C	
32	Male	White	ACG2021	2	8	B	
42	Female	White	ACG2021	1	8	A	
49	Female	Black/African American	ACG2021	1	8	WF	
34	Male	White	ACG2021	3	8	A	
55	Female	White	ACG2021	3	8	C	
46	Female	White	ACG2021	3	8	C	
32	Female	Black/African American	ACG2021	2	8	D	
38	Female	American Indian/Alaska Native	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	B	
24	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	2	8	A	
24	Female	White	ACG2021	3	8	B	
59	Female	White	ACG2021	1	8	W	
34	Male	White	ACG2021	3	8	C	
30	Female	White	ACG2021	3	8	F	
23	Male	White	ACG2021	2	8	B	
30	Female	White	ACG2021	3	8	B	
32	Female	White	ACG2021	1	8	A	
25	Male	White	ACG2021	2	8	A	
30	Male	White	ACG2021	1	8	B	
55	Male	Asian	ACG2021	3	8	A	
53	Female	White	ACG2021	1	8	WF	
27	Female	White	ACG2021	1	8	B	
24	Male	White	ACG2021	3	8	A	
26	Unknown	White	ACG2021	1	8	W	
23	Female	White	ACG2021	1	8	C	
31	Unknown	Black/African American	ACG2021	1	8	WF	
44	Male	White	ACG2021	1	8	B	
29	Female	White	ACG2021	1	8	B	
23	Unknown	White	ACG2021	1	8	F	
24	Female	White	ACG2021	1	8	B	
36	Female	Black/African American	ACG2021	1	8	WF	
50	Female	White	ACG2021	1	8	D	
30	Female	White	ACG2021	1	8	B	
33	Female	White	ACG2021	1	8	WF	
25	Male	White	ACG2021	3	8	A	
25	Male	White	ACG2021	2	8	B	
28	Female	White	ACG2021	2	8	C	
24	Male	White	ACG2021	2	8	B	
33	Male	Hispanic/Latino	ACG2021	1	8	C	
30	Male	White	ACG2021	1	8	A	
40	Male	White	ACG2021	1	8	A	
52	Female	White	ACG2021	1	8	A	
25	Female	Black/African American	ACG2021	3	8	A	
44	Unknown	White	ACG2021	1	8	F	
29	Female	White	ACG2021	1	8	WF	
25	Male	Asian	ACG2021	3	8	B	
25	Unknown	Not Specified	ACG2021	2	8	A	
25	Male	White	ACG2021	3	8	A	
25	Female	White	ACG2021	1	8	A	
49	Female	White	ACG2021	3	8	F	
49	Female	White	ACG2021	2	8	F	
31	Male	White	ACG2021	1	8	A	
26	Unknown	Multi-Ethnic	ACG2021	1	8	F	
27	Female	Black/African American	ACG2021	1	8	B	
24	Male	Asian	ACG2021	2	8	B	
24	Female	Not Specified	ACG2021	1	8	A	
24	Male	Hispanic/Latino	ACG2021	2	8	A	
24	Male	White	ACG2021	2	8	A	
24	Male	Multi-Ethnic	ACG2021	2	8	C	
23	Female	Asian	ACG2021	1	8	C	
44	Female	White	ACG2021	1	8	C	
32	Female	Asian	ACG2021	3	8	A	
24	Female	White	ACG2021	2	8	C	
24	Male	White	ACG2021	2	8	B	
23	Male	White	ACG2021	3	8	W	
25	Male	Hispanic/Latino	ACG2021	3	8	WF	
31	Male	White	ACG2021	1	8	B	
44	Female	Black/African American	ACG2021	1	8	W	
32	Female	White	ACG2021	1	8	B	
21	Male	Asian	ACG2021	1	8	A	
28	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	B	
29	Male	Black/African American	ACG2021	1	8	W	
49	Female	White	ACG2021	3	8	B	
39	Male	Black/African American	ACG2021	3	8	C	
26	Male	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	A	
31	Female	White	ACG2021	1	8	F	
21	Male	White	ACG2021	2	8	A	
23	Male	Hispanic/Latino	ACG2021	1	8	A	
26	Female	White	ACG2021	1	8	A	
47	Female	Hispanic/Latino	ACG2021	1	8	F	
19	Female	White	ACG2021	3	8	B	
22	Male	White	ACG2021	2	8	A	
29	Male	White	ACG2021	1	8	B	
23	Female	Black/African American	ACG2021	1	8	WF	
22	Female	Hispanic/Latino	ACG2021	1	8	B	
24	Female	White	ACG2021	2	8	C	
34	Male	Hispanic/Latino	ACG2021	1	8	C	
22	Female	White	ACG2021	3	8	C	
26	Male	White	ACG2021	2	8	D	
20	Female	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	3	8	B	
48	Female	Black/African American	ACG2021	1	8	B	
31	Male	White	ACG2021	2	8	A	
25	Female	White	ACG2021	1	8	C	
29	Female	Multi-Ethnic	ACG2021	1	8	C	
36	Male	Black/African American	ACG2021	2	8	C	
25	Female	White	ACG2021	1	8	B	
25	Female	White	ACG2021	2	8	B	
29	Female	Black/African American	ACG2021	1	8	W	
26	Male	Hispanic/Latino	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	F	
25	Male	White	ACG2021	1	8	W	
21	Male	Black/African American	ACG2021	3	8	D	
21	Female	White	ACG2021	2	8	A	
36	Female	Black/African American	ACG2021	1	8	B	
28	Male	Hispanic/Latino	ACG2021	3	8	W	
21	Male	White	ACG2021	1	8	A	
29	Female	Not Specified	ACG2021	2	8	A	
38	Female	White	ACG2021	1	8	B	
20	Male	Asian	ACG2021	3	8	F	
28	Female	Hispanic/Latino	ACG2021	1	8	W	
35	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	2	8	A	
30	Male	Hispanic/Latino	ACG2021	1	8	F	
18	Female	White	ACG2021	1	8	A	
25	Female	White	ACG2021	1	8	D	
42	Female	White	ACG2021	1	8	A	
19	Female	White	ACG2021	3	8	A	
21	Male	Asian	ACG2021	3	8	B	
36	Male	White	ACG2021	1	8	B	
29	Female	White	ACG2021	3	8	A	
21	Male	White	ACG2021	2	8	A	
27	Female	White	ACG2021	1	8	A	
19	Female	White	ACG2021	3	8	B	
19	Male	Hispanic/Latino	ACG2021	3	8	B	
22	Male	Black/African American	ACG2021	1	8	WF	
60	Male	Black/African American	ACG2021	1	8	C	
22	Male	Hispanic/Latino	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	C	
22	Male	White	ACG2021	3	8	B	
22	Male	White	ACG2021	2	8	F	
19	Female	White	ACG2021	3	8	A	
19	Female	White	ACG2021	3	8	C	
27	Female	Hispanic/Latino	ACG2021	1	8	C	
27	Female	Hispanic/Latino	ACG2021	1	8	A	
27	Unknown	White	ACG2021	3	8	B	
28	Female	Black/African American	ACG2021	1	8	F	
26	Female	American Indian/Alaska Native	ACG2021	1	8	B	
51	Female	White	ACG2021	2	8	B	
23	Female	White	ACG2021	3	8	B	
19	Female	White	ACG2021	3	8	C	
35	Male	White	ACG2021	1	8	B	
23	Female	White	ACG2021	1	8	B	
21	Female	White	ACG2021	3	8	D	
23	Female	Multi-Ethnic	ACG2021	3	8	F	
23	Female	Multi-Ethnic	ACG2021	1	8	C	
30	Male	White	ACG2021	3	8	A	
31	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	C	
22	Female	White	ACG2021	2	8	C	
19	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	2	8	C	
36	Male	White	ACG2021	3	8	A	
39	Female	Black/African American	ACG2021	1	8	F	
46	Female	Black/African American	ACG2021	1	8	A	
20	Female	White	ACG2021	3	8	B	
31	Male	White	ACG2021	1	8	B	
33	Female	Hispanic/Latino	ACG2021	1	8	B	
24	Male	Hispanic/Latino	ACG2021	2	8	B	
21	Male	White	ACG2021	3	8	B	
30	Male	White	ACG2021	1	8	B	
48	Female	White	ACG2021	3	8	A	
66	Male	White	ACG2021	1	8	WF	
22	Male	White	ACG2021	2	8	C	
28	Female	Not Specified	ACG2021	2	8	B	
43	Female	White	ACG2021	1	8	C	
33	Female	White	ACG2021	1	8	A	
29	Female	Hispanic/Latino	ACG2021	1	8	B	
20	Male	White	ACG2021	2	8	WF	
22	Male	White	ACG2021	1	8	C	
46	Female	Hispanic/Latino	ACG2021	1	8	A	
23	Male	Multi-Ethnic	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	B	
24	Male	White	ACG2021	2	8	A	
46	Male	White	ACG2021	1	8	W	
